AGENT,ITERATION,NO OF GHOSTS,RESULT,TIME
A4,1,1,TRUE,0.022801399
A4,2,1,TRUE,0.02524519
A4,3,1,TRUE,0.021144867
A4,4,1,TRUE,0.027018547
A4,5,1,TRUE,0.027596235
A4,6,1,TRUE,0.028187037
A4,7,1,TRUE,0.024167538
A4,8,1,TRUE,0.025451899
A4,9,1,TRUE,0.022222281
A4,10,1,TRUE,0.028598785
A4,11,1,TRUE,0.024562597
A4,12,1,TRUE,0.020342588
A4,13,1,TRUE,0.02242589
A4,14,1,TRUE,0.044225454
A4,15,1,TRUE,0.025542498
A4,16,1,TRUE,0.030972958
A4,17,1,TRUE,0.022416592
A4,18,1,TRUE,0.022293806
A4,19,1,TRUE,0.022032499
A4,20,1,TRUE,0.021957636
A4,21,1,TRUE,0.023899078
A4,22,1,TRUE,0.021812677
A4,23,1,TRUE,0.023136139
A4,24,1,TRUE,0.022798777
A4,25,1,TRUE,0.020650148
A4,26,1,TRUE,0.036218643
A4,27,1,TRUE,0.023771048
A4,28,1,TRUE,0.026025772
A4,29,1,TRUE,0.025866985
A4,30,1,TRUE,0.022187233
A4,1,2,TRUE,0.05433321
A4,2,2,TRUE,0.041862011
A4,3,2,TRUE,0.030794859
A4,4,2,TRUE,0.025016069
A4,5,2,TRUE,0.023876667
A4,6,2,TRUE,0.024918079
A4,7,2,TRUE,0.040580511
A4,8,2,TRUE,0.026119232
A4,9,2,TRUE,0.02741909
A4,10,2,TRUE,0.025779247
A4,11,2,TRUE,0.024418354
A4,12,2,TRUE,0.02797389
A4,13,2,TRUE,0.06369257
A4,14,2,TRUE,0.026050091
A4,15,2,TRUE,0.025261879
A4,16,2,TRUE,0.02648139
A4,17,2,TRUE,0.029176712
A4,18,2,TRUE,0.032034874
A4,19,2,TRUE,0.026617765
A4,20,2,TRUE,0.023174047
A4,21,2,TRUE,0.029831648
A4,22,2,TRUE,0.050448179
A4,23,2,TRUE,0.029245615
A4,24,2,TRUE,0.030856371
A4,25,2,TRUE,0.031928062
A4,26,2,TRUE,0.025587082
A4,27,2,TRUE,0.02429986
A4,28,2,TRUE,0.037670612
A4,29,2,TRUE,0.029420137
A4,30,2,TRUE,0.029044151
A4,1,3,TRUE,0.038174629
A4,2,3,TRUE,0.027211189
A4,3,3,TRUE,0.036133528
A4,4,3,TRUE,0.031699657
A4,5,3,FALSE,0.004649639
A4,6,3,TRUE,0.028622389
A4,7,3,TRUE,0.027446747
A4,8,3,TRUE,0.031576157
A4,9,3,TRUE,0.02888298
A4,10,3,TRUE,0.031610012
A4,11,3,TRUE,0.026350737
A4,12,3,TRUE,0.039587259
A4,13,3,TRUE,0.033700466
A4,14,3,TRUE,0.025728703
A4,15,3,TRUE,0.027109861
A4,16,3,TRUE,0.033138752
A4,17,3,TRUE,0.028101444
A4,18,3,TRUE,0.03020215
A4,19,3,TRUE,0.027952909
A4,20,3,TRUE,0.038216114
A4,21,3,TRUE,0.030224562
A4,22,3,TRUE,0.027831554
A4,23,3,TRUE,0.031491995
A4,24,3,TRUE,0.037716866
A4,25,3,TRUE,0.059177399
A4,26,3,TRUE,0.041146994
A4,27,3,TRUE,0.025241613
A4,28,3,TRUE,0.027525425
A4,29,3,TRUE,0.034208298
A4,30,3,TRUE,0.025829792
A4,1,4,TRUE,0.049273252
A4,2,4,TRUE,0.033299685
A4,3,4,TRUE,0.035434008
A4,4,4,TRUE,0.045773983
A4,5,4,TRUE,0.031378746
A4,6,4,TRUE,0.044875145
A4,7,4,TRUE,0.060105801
A4,8,4,TRUE,0.05185318
A4,9,4,TRUE,0.029673338
A4,10,4,TRUE,0.03392911
A4,11,4,TRUE,0.056073904
A4,12,4,TRUE,0.055110455
A4,13,4,TRUE,0.028511524
A4,14,4,TRUE,0.033332348
A4,15,4,TRUE,0.040102243
A4,16,4,TRUE,0.032023191
A4,17,4,TRUE,0.04046917
A4,18,4,TRUE,0.028629303
A4,19,4,TRUE,0.037886381
A4,20,4,TRUE,0.039580107
A4,21,4,TRUE,0.032981396
A4,22,4,TRUE,0.031103134
A4,23,4,TRUE,0.039162874
A4,24,4,TRUE,0.041674614
A4,25,4,TRUE,0.029074192
A4,26,4,TRUE,0.032566786
A4,27,4,TRUE,0.033051491
A4,28,4,TRUE,0.031651258
A4,29,4,TRUE,0.028456688
A4,30,4,TRUE,0.033349752
A4,1,5,TRUE,0.052815914
A4,2,5,TRUE,0.030829668
A4,3,5,TRUE,0.034557581
A4,4,5,TRUE,0.039387941
A4,5,5,TRUE,0.051445484
A4,6,5,TRUE,0.030413866
A4,7,5,TRUE,0.033531666
A4,8,5,TRUE,0.04694581
A4,9,5,TRUE,0.030864239
A4,10,5,TRUE,0.043340683
A4,11,5,TRUE,0.048681021
A4,12,5,TRUE,0.036468029
A4,13,5,TRUE,0.032521009
A4,14,5,TRUE,0.043303967
A4,15,5,TRUE,0.034876108
A4,16,5,TRUE,0.033690453
A4,17,5,TRUE,0.033703327
A4,18,5,TRUE,0.046168804
A4,19,5,TRUE,0.042001486
A4,20,5,TRUE,0.039757729
A4,21,5,TRUE,0.060018539
A4,22,5,TRUE,0.029690027
A4,23,5,TRUE,0.031042576
A4,24,5,TRUE,0.029383898
A4,25,5,TRUE,0.046147108
A4,26,5,TRUE,0.033087969
A4,27,5,TRUE,0.033153772
A4,28,5,TRUE,0.030628681
A4,29,5,TRUE,0.034375429
A4,30,5,TRUE,0.030395985
A4,1,6,TRUE,0.048922539
A4,2,6,TRUE,0.057013273
A4,3,6,TRUE,0.039509058
A4,4,6,FALSE,0.003884315
A4,5,6,TRUE,0.031504393
A4,6,6,TRUE,0.045298815
A4,7,6,TRUE,0.050737619
A4,8,6,TRUE,0.033353329
A4,9,6,TRUE,0.046325207
A4,10,6,TRUE,0.038370848
A4,11,6,TRUE,0.032567739
A4,12,6,TRUE,0.037747145
A4,13,6,TRUE,0.062656641
A4,14,6,TRUE,0.060001373
A4,15,6,TRUE,0.084298372
A4,16,6,TRUE,0.033176422
A4,17,6,TRUE,0.041743994
A4,18,6,TRUE,0.055294037
A4,19,6,TRUE,0.035707712
A4,20,6,TRUE,0.048134565
A4,21,6,TRUE,0.040544987
A4,22,6,TRUE,0.040775537
A4,23,6,TRUE,0.031661034
A4,24,6,TRUE,0.031353951
A4,25,6,TRUE,0.03279829
A4,26,6,TRUE,0.040608644
A4,27,6,TRUE,0.041446209
A4,28,6,TRUE,0.040288687
A4,29,6,TRUE,0.040347576
