AGENT,ITERATION,NO OF GHOSTS,RESULT,TIME
A3,1,1,TRUE,0.302816629
A3,2,1,TRUE,0.13119483
A3,3,1,TRUE,0.179433346
A3,4,1,TRUE,0.124073029
A3,5,1,TRUE,0.147859812
A3,6,1,TRUE,0.22606802
A3,7,1,TRUE,0.150437832
A3,8,1,TRUE,0.165256977
A3,9,1,TRUE,0.134475946
A3,10,1,TRUE,0.185473919
A3,11,1,TRUE,0.184210062
A3,12,1,TRUE,0.187831879
A3,13,1,TRUE,0.150202036
A3,14,1,TRUE,0.13776207
A3,15,1,TRUE,0.15325284
A3,16,1,TRUE,0.265275955
A3,17,1,TRUE,0.248290777
A3,18,1,TRUE,0.314215183
A3,19,1,TRUE,0.168770075
A3,20,1,TRUE,0.212905884
A3,21,1,TRUE,0.131956339
A3,22,1,TRUE,0.238545895
A3,23,1,TRUE,0.140584946
A3,24,1,TRUE,0.214303017
A3,25,1,TRUE,0.123105049
A3,26,1,TRUE,0.132720947
A3,27,1,TRUE,0.16022706
A3,28,1,TRUE,0.151041746
A3,29,1,TRUE,0.217110872
A3,30,2,TRUE,0.235074043
A3,31,2,TRUE,0.183682203
A3,32,2,TRUE,0.128516912
A3,33,2,TRUE,0.1564188
A3,34,2,TRUE,0.184453964
A3,35,2,TRUE,0.358057261
A3,36,2,TRUE,0.131400108
A3,37,2,TRUE,0.171417236
A3,38,2,TRUE,0.146317244
A3,39,2,TRUE,0.149875879
A3,40,2,TRUE,0.137764692
A3,41,2,TRUE,0.187496901
A3,42,2,TRUE,0.140202999
A3,43,2,TRUE,0.163997889
A3,44,2,TRUE,0.187511683
A3,45,2,TRUE,0.137051105
A3,46,2,TRUE,0.227561951
A3,47,2,TRUE,0.145673037
A3,48,2,FALSE,0.102000952
A3,49,2,FALSE,0.136202097
A3,50,2,TRUE,0.180299997
A3,51,2,TRUE,0.20875001
A3,52,2,TRUE,0.154718876
A3,53,2,TRUE,0.230458975
A3,54,2,TRUE,0.167277098
A3,55,2,TRUE,0.240465879
A3,56,2,TRUE,0.173902035
A3,57,2,TRUE,0.188809872
A3,58,2,TRUE,0.232268095
A3,59,3,TRUE,0.129446983
A3,60,3,TRUE,0.190954924
A3,61,3,TRUE,0.182404995
A3,62,3,TRUE,0.216068983
A3,63,3,FALSE,0.091920853
A3,64,3,TRUE,0.167455912
A3,65,3,TRUE,0.167868137
A3,66,3,TRUE,0.164943218
A3,67,3,TRUE,0.176922083
A3,68,3,FALSE,0.097918034
A3,69,3,TRUE,0.148289919
A3,70,3,TRUE,0.17007494
A3,71,3,TRUE,0.186723709
A3,72,3,TRUE,0.140669823
A3,73,3,TRUE,0.173639297
A3,74,3,FALSE,0.055588007
A3,75,3,FALSE,0.169934988
A3,76,3,FALSE,0.083826065
A3,77,3,TRUE,0.158140898
A3,78,3,TRUE,0.166985989
A3,79,3,TRUE,0.154747009
A3,80,3,TRUE,0.230193853
A3,81,3,TRUE,0.144257069
A3,82,3,TRUE,0.18802309
A3,83,3,FALSE,0.091940165
A3,84,3,TRUE,0.218647718
A3,85,3,TRUE,0.141468048
A3,86,3,TRUE,0.155102968
A3,87,3,TRUE,0.152476311
A3,88,4,TRUE,0.379112244
A3,89,4,TRUE,0.23820281
A3,90,4,FALSE,0.08152318
A3,91,4,TRUE,0.134673357
A3,92,4,FALSE,0.126188993
A3,93,4,TRUE,0.255020142
A3,94,4,TRUE,0.147587061
A3,95,4,FALSE,0.032384872
A3,96,4,TRUE,0.171107054
A3,97,4,TRUE,0.183176994
A3,98,4,TRUE,0.205327988
A3,99,4,TRUE,0.177574158
A3,100,4,FALSE,0.084846973
A3,101,4,TRUE,0.218732119
A3,102,4,FALSE,0.039388895
A3,103,4,TRUE,0.135063887
A3,104,4,TRUE,0.145295858
A3,105,4,TRUE,0.340902805
A3,106,4,TRUE,0.147026062
A3,107,4,FALSE,0.000657082
A3,108,4,TRUE,0.257936954
A3,109,4,TRUE,0.185400963
A3,110,4,FALSE,0.134127855
A3,111,4,TRUE,0.241447926
A3,112,4,TRUE,0.159976959
A3,113,4,FALSE,0.157802343
A3,114,4,FALSE,0.081518888
A3,115,4,TRUE,0.381440878
A3,116,4,TRUE,0.14609313
A3,117,5,TRUE,0.212078094
A3,118,5,TRUE,0.145024776
A3,119,5,TRUE,0.187799931
A3,120,5,TRUE,0.27659297
A3,121,5,FALSE,0.093436241
A3,122,5,TRUE,0.232985258
A3,123,5,TRUE,0.192626953
A3,124,5,FALSE,0.084169149
A3,125,5,TRUE,0.173760891
A3,126,5,TRUE,0.139086008
A3,127,5,TRUE,0.162558794
A3,128,5,TRUE,0.201424837
A3,129,5,FALSE,0.095554113
A3,130,5,TRUE,0.143821001
A3,131,5,TRUE,0.241121054
A3,132,5,FALSE,0.16704011
A3,133,5,TRUE,0.144388914
A3,134,5,TRUE,0.137012005
A3,135,5,TRUE,0.227930069
A3,136,5,TRUE,0.145061731
A3,137,5,TRUE,0.15050292
A3,138,5,TRUE,0.167191029
A3,139,5,TRUE,0.174800158
A3,140,5,TRUE,0.330990076
A3,141,5,TRUE,0.171650171
A3,142,5,TRUE,0.181722164
A3,143,5,TRUE,0.176748991
A3,144,5,TRUE,0.131633043
A3,145,5,TRUE,0.258666992
A3,146,6,TRUE,0.148496151
A3,147,6,TRUE,0.175830126
A3,148,6,TRUE,0.1920228
A3,149,6,TRUE,0.162570953
A3,150,6,FALSE,0.161067009
A3,151,6,FALSE,0.079252005
A3,152,6,TRUE,0.161723852
A3,153,6,TRUE,0.220805883
A3,154,6,TRUE,0.155816793
A3,155,6,FALSE,0.051450253
A3,156,6,TRUE,0.193964958
A3,157,6,TRUE,0.246382236
A3,158,6,TRUE,0.169244051
A3,159,6,TRUE,0.13396883
A3,160,6,TRUE,0.338187933
A3,161,6,TRUE,0.152648926
A3,162,6,FALSE,0.203497887
A3,163,6,TRUE,0.184796095
A3,164,6,TRUE,0.204630852
A3,165,6,FALSE,0.230983019
A3,166,6,TRUE,0.144968271
A3,167,6,FALSE,0.084510803
A3,168,6,FALSE,0.113250971
A3,169,6,TRUE,0.209100008
A3,170,6,TRUE,0.147125959
A3,171,6,TRUE,0.24998498
A3,172,6,TRUE,0.14288187
A3,173,6,TRUE,0.453700066
A3,174,6,TRUE,0.352825165
A3,175,7,TRUE,0.161406994
A3,176,7,TRUE,0.301268816
A3,177,7,TRUE,0.142998934
A3,178,7,TRUE,0.128379107
A3,179,7,TRUE,0.156769037
A3,180,7,FALSE,0.134151936
A3,181,7,TRUE,0.173764229
A3,182,7,TRUE,0.162540674
A3,183,7,FALSE,0.187134981
A3,184,7,TRUE,0.243243933
A3,185,7,TRUE,0.140393972
A3,186,7,TRUE,0.174876213
A3,187,7,FALSE,0.039688826
A3,188,7,FALSE,0.083787918
A3,189,7,TRUE,0.164255857
A3,190,7,TRUE,0.160391092
A3,191,7,TRUE,0.186275959
A3,192,7,TRUE,0.188069105
A3,193,7,TRUE,0.213627815
A3,194,7,TRUE,0.181672096
A3,195,7,TRUE,0.191366196
A3,196,7,TRUE,0.245518208
A3,197,7,FALSE,0.077464819
A3,198,7,TRUE,0.451891899
A3,199,7,TRUE,0.160891771
A3,200,7,TRUE,0.165189743
A3,201,7,TRUE,0.14418292
A3,202,7,FALSE,0.153376102
A3,203,7,FALSE,0.188354969
A3,204,8,TRUE,0.177603006
A3,205,8,TRUE,0.14398694
A3,206,8,FALSE,0.049335957
A3,207,8,TRUE,0.192584991
A3,208,8,TRUE,0.21276021
A3,209,8,TRUE,0.194257259
A3,210,8,TRUE,0.17918992
A3,211,8,FALSE,0.167118073
A3,212,8,TRUE,0.170024872
A3,213,8,TRUE,0.225457907
A3,214,8,TRUE,0.177921057
A3,215,8,TRUE,0.222315073
A3,216,8,TRUE,0.278057814
A3,217,8,FALSE,0.147355318
A3,218,8,TRUE,0.156362057
A3,219,8,TRUE,0.159254074
A3,220,8,FALSE,0.168777943
A3,221,8,TRUE,0.16899395
A3,222,8,TRUE,0.232892752
A3,223,8,FALSE,0.081293821
A3,224,8,FALSE,0.142262697
A3,225,8,TRUE,0.153587103
A3,226,8,TRUE,0.159766197
A3,227,8,TRUE,0.231905937
A3,228,8,TRUE,0.175153255
A3,229,8,TRUE,0.462436199
A3,230,8,TRUE,0.24605608
A3,231,8,TRUE,0.171447039
A3,232,8,FALSE,0.307111979
A3,233,9,FALSE,0.14866209
A3,234,9,TRUE,0.247855902
A3,235,9,TRUE,0.254294872
A3,236,9,TRUE,0.251245737
A3,237,9,FALSE,0.153751135
A3,238,9,TRUE,0.17102313
A3,239,9,TRUE,0.297547102
A3,240,9,TRUE,0.260492086
A3,241,9,TRUE,0.161941051
A3,242,9,FALSE,0.009521723
A3,243,9,FALSE,0.121944904
A3,244,9,TRUE,0.275285959
A3,245,9,TRUE,0.172128916
A3,246,9,TRUE,0.241589069
A3,247,9,TRUE,0.194234133
A3,248,9,TRUE,0.168645859
A3,249,9,TRUE,0.150877953
A3,250,9,TRUE,0.17191124
A3,251,9,FALSE,0.073390961
A3,252,9,TRUE,0.128883839
A3,253,9,TRUE,0.153516054
A3,254,9,FALSE,0.240840912
A3,255,9,TRUE,0.152075052
A3,256,9,TRUE,0.16777277
A3,257,9,TRUE,0.234452009
A3,258,9,TRUE,0.131317139
A3,259,9,TRUE,0.214086056
A3,260,9,TRUE,0.168604136
A3,261,9,FALSE,0.016570091
A3,262,10,TRUE,0.137646198
A3,263,10,TRUE,0.247080088
A3,264,10,FALSE,0.131728888
A3,265,10,FALSE,0.010696173
A3,266,10,FALSE,0.132588148
A3,267,10,TRUE,0.166154861
A3,268,10,FALSE,0.015204191
A3,269,10,TRUE,0.15397501
A3,270,10,TRUE,0.162786007
A3,271,10,TRUE,0.15709424
A3,272,10,FALSE,0.188835144
A3,273,10,FALSE,0.121236801
A3,274,10,TRUE,0.170644045
A3,275,10,TRUE,0.147829056
A3,276,10,FALSE,0.325443983
A3,277,10,TRUE,0.16599822
A3,278,10,FALSE,0.099796295
A3,279,10,FALSE,0.080469131
A3,280,10,FALSE,0.10410881
A3,281,10,TRUE,0.266631842
A3,282,10,TRUE,0.168576956
A3,283,10,TRUE,0.268440008
A3,284,10,FALSE,0.101793051
A3,285,10,FALSE,0.206286907
A3,286,10,FALSE,0.025723219
A3,287,10,TRUE,0.20009613
A3,288,10,TRUE,0.165719748
A3,289,10,TRUE,0.153582096
A3,290,10,FALSE,0.067847013
A3,291,11,TRUE,0.271698713
A3,292,11,TRUE,0.169046164
A3,293,11,TRUE,0.226197958
A3,294,11,TRUE,0.194932222
A3,295,11,FALSE,0.187590122
A3,296,11,TRUE,0.197535992
A3,297,11,FALSE,0.058116198
A3,298,11,TRUE,0.137779951
A3,299,11,TRUE,0.194631338
A3,300,11,FALSE,0.010249138
A3,301,11,FALSE,0.123867989
A3,302,11,TRUE,0.21802187
A3,303,11,FALSE,0.177903891
A3,304,11,TRUE,0.156716108
A3,305,11,TRUE,0.177614212
A3,306,11,FALSE,0.164036274
A3,307,11,TRUE,0.142035246
A3,308,11,FALSE,0.019699097
A3,309,11,TRUE,0.185821056
A3,310,11,TRUE,0.261946201
A3,311,11,FALSE,0.118486643
A3,312,11,FALSE,0.126351833
A3,313,11,FALSE,0.103324175
A3,314,11,TRUE,0.163594961
A3,315,11,TRUE,0.145251989
A3,316,11,TRUE,0.184962034
A3,317,11,TRUE,0.146149874
A3,318,11,TRUE,0.206650734
A3,319,11,TRUE,0.161921024
A3,320,12,TRUE,0.155939817
A3,321,12,TRUE,0.174827099
A3,322,12,FALSE,0.107362032
A3,323,12,TRUE,0.403120041
A3,324,12,TRUE,0.16365099
A3,325,12,FALSE,0.096610069
A3,326,12,TRUE,0.161456823
A3,327,12,FALSE,0.197319031
A3,328,12,TRUE,0.168796778
A3,329,12,FALSE,0.000818729
A3,330,12,FALSE,0.093771935
